,Source,Reference,Adopted Mass,Object Radius,Old Accr Rate,Ha Accr Rate,PaB Accr Rate,BrG Accr Rate,Avg Accr Rate
361,2MASS J19013357-3700304,Mohanty 2005,0.08,,1e-09,,,,
362,Lup604s,Alcala 2017,0.13,0.83,5.0100000000000007e-11,,,,
363,[LEM2005] Lup 607,Alcala 2017,0.1,1.03,5.009999999999999e-12,3.4943834541953153e-12,1.6018216271370272e-11,2.6140488589468528e-11,1.5217696105011372e-11
364,2MASS J16073773-3921388,Alcala 2017,0.11,0.52,6.310000000000001e-11,,,,
365,2MASS J16095628-3859518,Alcala 2017,0.1,0.58,2.0000000000000002e-11,,,,
366,MHO 5,Mohanty 2005,0.057198,,2.0000000000000002e-11,,,,
367,MHO 5,Mohanty 2005,0.057198,,1.26e-11,,,,
368,MHO 6,Muzerolle 2003,0.13,1.0,5.0100000000000007e-11,,,,
369,MY Lup,Alcala 2017,1.02,1.13,2.24e-10,3.065093378140857e-11,6.533784773963186e-10,7.29780069160171e-10,4.712698267792994e-10
370,IRAS 16054-3857,Alcala 2017,0.26,1.59,3.09e-10,,,,
371,THA 15-35,Alcala 2017,0.16,0.17,3.1600000000000003e-12,,,,
372,RXJ1556.1-3655,Alcala 2017,0.46,1.17,1.29e-08,5.860425889842361e-09,4.35499006908074e-09,1.400749961896382e-09,3.872055306939827e-09
373,RY Lup,Alcala 2017,1.47,1.79,6.17e-09,2.0926807607358854e-09,3.0276999156921313e-09,2.960558017504464e-09,2.693646231310827e-09
374,2MASS J05392174-0244038,Rigliaco 2011,0.15,0.46,1.29e-09,,,,
375,SO1036,Rigliaco 2011,0.75,1.64,6.03e-10,,,,
376,2MASS J05392633-0228376,Rigliaco 2011,0.2,0.92,6.03e-11,,,,
377,2MASS J05392677-0242583,Rigliaco 2011,0.15,0.98,5.62e-11,,,,
378,[BZR99] S Ori 36,Rigliaco 2011,0.06,0.4,1.3800000000000002e-11,,,,
379,2MASS J05392935-0227209,Rigliaco 2011,0.17,1.25,6.609999999999999e-09,,,,
380,V* RV Ori,Rigliaco 2011,1.0,1.74,,,,,
381,2MASS J05394318-0232433,Rigliaco 2011,0.2,1.03,1.6199999999999998e-10,,,,
382,[BZR99] S Ori 10,Rigliaco 2011,0.11,0.6,9.770000000000001e-11,,,,
383,2MASS J05394944-0223459,Rigliaco 2011,0.2,0.92,8.709999999999999e-11,,,,
384,Haro 5-32,Rigliaco 2011,0.35,1.04,2.51e-09,,,,
385,Haro 5-32,Rigliaco 2012,0.26,1.12,1.07e-09,2.448844708693185e-09,3.448923054945228e-09,,2.9488838818192065e-09
386,2MASS J05395421-0227326,Rigliaco 2011,0.16,0.92,8.13e-11,,,,
387,2MASS J05395421-0227326,Rigliaco 2012,0.2,0.84,4.17e-12,4.0065067734647206e-11,,,4.0065067734647206e-11
388,Mayrit 1045094,Rigliaco 2011,0.09,0.56,8.710000000000001e-12,,,,
389,Haro 5-34,Rigliaco 2011,0.7,2.06,8.51e-10,,,,
390,2MASS J05400101-0219597,Rigliaco 2011,0.2,0.86,5.62e-11,,,,
391,Haro 5-36,Rigliaco 2011,0.3,1.37,4.07e-10,,,,
392,V* V608 Ori,Rigliaco 2011,0.55,1.99,2.2399999999999997e-09,,,,
393,2MASS J05380097-0226079,Rigliaco 2011,0.15,1.04,2.4500000000000003e-10,,,,
394,2MASS J05380097-0226079,Rigliaco 2011,0.35,1.08,1.51e-10,,,,
395,Kiso A-0904 67,Rigliaco 2011,0.6,1.61,4.79e-10,,,,
396,2MASS J05381319-0226088,Rigliaco 2011,0.3,1.3,3.31e-10,,,,
397,2MASS J05381319-0226088,Rigliaco 2012,0.2,1.45,3.8e-10,1.0469453430085974e-10,9.373202436803955e-11,,9.921327933444964e-11
398,2MASS J05381778-0240500,Rigliaco 2011,0.2,0.98,8.51e-11,,,,
399,2MASS J05381824-0248143,Rigliaco 2011,0.35,1.16,1.66e-10,,,,
400,[W96] rJ053820-0234,Rigliaco 2011,0.2,1.26,2.1399999999999998e-10,,,,
401,2MASS J05382307-0236493,Rigliaco 2011,0.2,0.73,1.23e-10,,,,
402,V* V2725 Ori,Rigliaco 2011,0.25,0.61,4.27e-10,,,,
403,V* V2726 Ori,Rigliaco 2011,0.15,0.92,4.79e-10,,,,
404,V* V2726 Ori,Rigliaco 2012,0.14,1.02,1.0699999999999999e-10,3.39007607518957e-11,1.8809059126870614e-11,,2.6354909939383157e-11
405,V* V2728 Ori,Rigliaco 2011,0.1,0.52,1.2e-10,,,,
406,V* V2728 Ori,Rigliaco 2012,0.08,0.47,5.3700000000000006e-11,8.771758658787557e-11,1.1362020529823989e-10,,1.0066889594305772e-10
407,[BNM2013] 93.03 227,Rigliaco 2011,0.13,0.7,2.75e-11,,,,
408,V* V505 Ori,Rigliaco 2011,1.0,1.34,,,,,
409,Kiso A-0976 329,Rigliaco 2011,0.3,1.19,1.51e-10,,,,
410,Mayrit 803197,Rigliaco 2011,0.07,0.52,1.48e-11,,,,
411,Haro 5-9,Rigliaco 2011,1.0,1.37,,,,,
412,Haro 5-11,Rigliaco 2011,0.4,1.36,2.1899999999999997e-09,,,,
413,[W96] rJ053831-0235,Rigliaco 2011,0.4,2.19,1.1199999999999999e-09,,,,
414,V* TX Ori,Rigliaco 2011,0.75,3.18,,,,,
415,[W96] rJ053833-0236,Rigliaco 2011,0.3,1.59,3.5499999999999996e-10,,,,
